trade_idx,check_bar,eqs,action,actual_pnl,outcome
422,3,70.0,Hold,-335.2499999999891,loss
423,3,43.0,ScaleOut,184.49999999997817,win
424,3,50.0,Trail,-381.0000000000055,loss
425,3,58.0,Trail,292.8750000000109,win
426,3,50.0,Trail,-334.4999999999727,loss
427,3,58.0,Trail,249.3749999999618,win
428,3,35.0,ScaleOut,-402.0,loss
429,3,85.0,Hold,318.0,win
430,3,55.0,Trail,-384.0000000000164,loss
431,3,65.0,Trail,282.00000000003274,win
432,3,55.0,Trail,-398.9999999999891,loss
433,3,65.0,Trail,311.9999999999782,win
434,3,63.0,Trail,-277.5000000000109,loss
435,3,50.0,Trail,160.12500000000546,win
436,3,35.0,ScaleOut,-247.87500000003277,loss
437,3,73.0,Hold,148.12500000001637,win
438,3,55.0,Trail,-296.2500000000655,loss
439,3,53.0,Trail,229.12500000006548,win
440,3,35.0,ScaleOut,-480.75,loss
441,3,85.0,Hold,475.5,win
442,3,25.0,Exit,-409.5,loss
443,3,80.0,Hold,348.7500000000164,win
444,3,45.0,ScaleOut,-425.2500000000164,loss
445,3,80.0,Hold,364.5000000000328,win
446,3,45.0,ScaleOut,-420.0000000000109,loss
447,3,60.0,Trail,354.0000000000218,win
448,3,53.0,Trail,-269.24999999996726,loss
449,3,50.0,Trail,128.99999999996726,win
450,3,25.0,Exit,-260.2500000000164,loss
451,3,73.0,Hold,120.00000000001636,win
452,3,45.0,ScaleOut,-256.87499999998363,loss
453,3,53.0,Trail,116.62499999998364,win
454,3,25.0,Exit,-375.0000000000109,loss
455,3,80.0,Hold,264.0000000000218,win
456,3,25.0,Exit,-310.5000000000218,loss
457,3,73.0,Hold,135.00000000004366,win
458,3,25.0,Exit,-309.75000000000546,loss
459,3,75.0,Hold,133.5000000000109,win
460,3,45.0,ScaleOut,-319.87499999999454,loss
461,3,55.0,Trail,153.7499999999891,win
462,3,25.0,Exit,-287.2499999999782,loss
463,3,73.0,Hold,88.49999999995634,win
464,3,25.0,Exit,-130.87499999993452,loss
465,3,63.0,Trail,-82.50000000006548,loss
466,3,45.0,ScaleOut,-67.49999999998363,loss
467,3,48.0,ScaleOut,-92.25000000003274,loss
468,3,53.0,Trail,-62.625,loss
469,3,50.0,Trail,-79.5,loss
470,3,28.0,Exit,38.25000000003274,win
