entry_filter,confidence_threshold,risk_multiplier,reward_points,stop_points,trailing_stop,partial_exit_fraction,trade_count,net_pnl,profit_factor,win_rate,expectancy,max_drawdown,avg_winner,avg_loser,meets_min_trades
confidence_threshold,0.43108233117483813,1.0,18.75,22.5,True,0.5,32080,4608152.265000002,3.873300223633021,0.5225997506234414,143.64564417082303,-9688.409999999683,370.5300348941248,-104.71980215475013,True
confidence_and_adx,0.43108233117483813,1.25,18.75,30.0,True,0.5,20899,4603718.925000002,5.77826301973887,0.5854825589741136,220.28417268768848,-5041.762500000419,454.9844843085976,-111.21680999653684,True
confidence_threshold,0.435759209344115,1.25,18.75,15.0,True,0.0,18447,4574097.656250006,6.839477364210185,0.6344663088849135,247.9588906732805,-7244.625,457.7412556604582,-116.16580157200015,True
confidence_threshold,0.435759209344115,1.25,18.75,30.0,True,0.5,18447,4566896.250000005,6.761578264226644,0.6199382013335502,247.56850707432127,-7477.106249999953,468.65538595225615,-113.05758718442395,True
confidence_and_adx,0.43108233117483813,1.25,18.75,22.5,True,0.5,20899,4559378.971875003,5.73224197419597,0.5854825589741136,218.16254231661816,-5041.762500000419,451.36075489334763,-111.21680999653684,True
confidence_threshold,0.435759209344115,1.25,18.75,22.5,True,0.5,18447,4522155.468750006,6.705133471381937,0.6199382013335502,245.14313811188842,-7477.106249999953,464.7431105718784,-113.05758718442395,True
confidence_threshold,0.43108233117483813,1.0,18.75,15.0,True,0.5,32080,4510365.352500003,3.8123275948228414,0.5225997506234414,140.5974237063592,-10158.87000000081,364.69723367133923,-104.71980215475013,True
confidence_threshold,0.43108233117483813,1.0,15.0,30.0,True,0.0,32080,4497774.000000004,3.8590209376280105,0.5415211970074812,140.20492518703253,-9094.199999999488,349.46815565277467,-107.29687627881584,True
confidence_and_adx,0.43108233117483813,1.25,15.0,30.0,True,0.0,20899,4480242.000000004,5.7129696179781755,0.6007942963778171,214.3759031532611,-4807.499999999578,432.53120022300124,-113.94219705142024,True
confidence_and_adx,0.43108233117483813,1.25,18.75,15.0,True,0.5,20899,4476587.362500003,5.646311427204283,0.5854825589741136,214.20103174793064,-5041.762500000419,444.5945233327886,-111.21680999653684,True
confidence_no_after_2pm,0.43108233117483813,1.25,22.5,30.0,True,0.0,18603,4459779.749999998,6.1358886792974285,0.5959253883782185,239.73443799387186,-8807.25,480.61841511816687,-115.51895703073035,True
confidence_threshold,0.435759209344115,1.25,18.75,15.0,True,0.5,18447,4438510.453125006,6.599607250168591,0.6199382013335502,240.60879563750234,-7477.106249999953,457.42892592471156,-113.05758718442395,True
confidence_threshold,0.435759209344115,1.25,15.0,30.0,True,0.0,18447,4424102.250000006,6.6479871850847845,0.6344663088849135,239.8277362172714,-6519.0,444.9255169172934,-116.16580157200015,True
confidence_threshold,0.43108233117483813,1.0,15.0,22.5,True,0.0,32080,4384928.700000005,3.7872905493486284,0.5415211970074812,136.68730361596025,-9094.199999999488,342.97234054800845,-107.29687627881584,True
confidence_and_adx,0.43108233117483813,1.25,15.0,22.5,True,0.0,20899,4381999.125000005,5.6096234851001245,0.6007942963778171,209.67506220393344,-4807.499999999578,424.7068234310293,-113.94219705142024,True
confidence_no_after_2pm,0.43108233117483813,1.25,22.5,22.5,True,0.0,18603,4376511.187499999,6.039996484736673,0.5959253883782185,235.25835550717622,-8848.875,473.1072693036261,-115.51895703073035,True
none,0.0,1.0,11.25,15.0,True,0.0,66692,4357968.975000007,2.1012348972932298,0.47630900257902,65.34470363761781,-50335.6499999978,261.76781149656875,-113.40403842847304,True
confidence_threshold,0.435759209344115,1.25,15.0,22.5,True,0.0,18447,4330738.125000006,6.528794781349846,0.6344663088849135,234.7665270775739,-6519.0,436.9484043916612,-116.16580157200015,True
confidence_no_after_2pm,0.43108233117483813,1.25,22.5,30.0,True,0.5,18603,4301417.006249999,5.893339514827372,0.5808202978014299,231.2216850104821,-9324.112499999814,479.44952047663105,-112.72570691202873,True
confidence_no_after_2pm,0.43108233117483813,1.25,18.75,30.0,True,0.0,18603,4266819.375,5.913675238036013,0.5959253883782185,229.36189727463312,-5540.625,463.21264432617716,-115.51895703073035,True
confidence_no_after_2pm,0.43108233117483813,1.25,22.5,22.5,True,0.5,18603,4259782.724999999,5.845975896439284,0.5808202978014299,228.98364376713425,-9324.112499999814,475.59627834335953,-112.72570691202873,True
confidence_no_after_2pm,0.43108233117483813,1.25,22.5,15.0,True,0.0,18603,4245881.624999998,5.889563295468678,0.5959253883782185,228.23639332365738,-9552.0,461.3239784412772,-115.51895703073035,True
confidence_and_adx,0.43108233117483813,1.25,15.0,15.0,True,0.0,20899,4213491.375000005,5.432362545591977,0.6007942963778171,201.61210464615553,-4807.499999999578,411.2863272539028,-113.94219705142024,True
confidence_no_after_2pm,0.43108233117483813,1.25,22.5,15.0,True,0.5,18603,4194467.943749999,5.771673079593454,0.5808202978014299,225.47266267537486,-9631.293749999953,469.55141196205454,-112.72570691202873,True
confidence_threshold,0.43108233117483813,1.0,15.0,15.0,True,0.0,32080,4180968.9000000055,3.6576430084463016,0.5415211970074812,130.32945448877823,-9380.099999999162,331.23161984803147,-107.29687627881584,True
confidence_no_after_2pm,0.43108233117483813,1.25,18.75,22.5,True,0.0,18603,4177212.75,5.810484121719663,0.5959253883782185,224.5451136913401,-5540.625,455.12978080461846,-115.51895703073035,True
confidence_threshold,0.435759209344115,1.25,15.0,15.0,True,0.0,18447,4171685.250000006,6.325741472681203,0.6344663088849135,226.144373068792,-6475.125,423.35878759398526,-116.16580157200015,True
confidence_and_adx,0.43108233117483813,1.25,15.0,30.0,True,0.5,20899,4079245.2375000026,5.233904585474266,0.5854825589741136,195.18853713096334,-4813.237499999668,412.1213192628311,-111.21680999653684,True
confidence_no_after_2pm,0.43108233117483813,1.25,18.75,30.0,True,0.5,18603,4053432.224999999,5.611229287568947,0.5808202978014299,217.89131994839536,-5893.743749999674,456.4985920869967,-112.72570691202873,True
confidence_and_adx,0.43108233117483813,1.25,15.0,22.5,True,0.5,20899,4030123.800000003,5.1829207717127295,0.5854825589741136,192.8381166562995,-4813.237499999668,408.10681799607727,-111.21680999653684,True
confidence_no_after_2pm,0.43108233117483813,1.25,18.75,15.0,True,0.0,18603,4026390.28125,5.6367967530022245,0.5959253883782185,216.43768646186098,-5540.625,441.5250118392567,-115.51895703073035,True
